Time [s],Channel 5
2.156221437,0
2.541709924,1
2.541737066,0
2.541737262,1
2.541749452,0
2.541750984,1
2.541778122,0
2.541778254,1
2.541790370,0
2.541791832,1
2.541818978,0
2.541819112,1
2.541831224,0
2.541877432,1
2.541904576,0
2.541904708,1
2.541916822,0
2.726433250,1
2.726460400,0
2.726460534,1
2.726472650,0
2.726474094,1
2.726501250,0
2.726501382,1
2.726513498,0
2.906604414,0
